month,year,gov_gov_gold,gov_gov_matcf,gov_gov_matcp,gov_gov_vercf,gov_gov_vercp,gov_ios_gold,gov_ios_matcf,gov_ios_matcp,gov_ios_vercf,gov_ios_vercp,gov_opp_gold,gov_opp_matcf,gov_opp_matcp,gov_opp_vercf,gov_opp_vercp,gov_par_matcp,gov_par_vercf,gov_soc_matcp,gov_soc_vercf,gov_sta_matcp,gov_sta_vercf,gov_usa_gold,gov_usa_matcf,gov_usa_matcp,gov_usa_vercf,gov_usa_vercp,ios_gov_gold,ios_opp_gold,ios_soc_gold,opp_gov_gold,opp_gov_matcp,opp_gov_vercf,opp_gov_vercp,opp_ios_gold,opp_ios_matcp,opp_ios_vercf,opp_ios_vercp,opp_opp_gold,opp_opp_matcp,opp_opp_vercf,opp_opp_vercp,opp_par_gold,opp_par_matcf,opp_par_vercp,opp_soc_gold,opp_soc_matcf,opp_soc_vercp,opp_sta_gold,opp_sta_matcf,opp_sta_vercp,opp_usa_gold,opp_usa_matcp,opp_usa_vercf,opp_usa_vercp,par_opp_gold,par_par_gold,par_sta_gold,par_usa_gold,soc_gov_gold,soc_ios_gold,soc_soc_gold,soc_sta_gold,soc_usa_gold,sta_gov_gold,sta_opp_gold,sta_par_gold,sta_soc_gold,usa_gov_gold
7.0,1997.0,289.7,14.0,9.0,21.0,169.0,26.8,0.0,0.0,0.0,7.0,2.2,1.0,2.0,2.0,1.0,0.0,1.0,4.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,-5.0,8.0,0.0,157.5,0.0,0.0,8.0,6.0
8.0,1997.0,212.1,13.0,9.0,20.0,130.0,28.6,0.0,5.0,2.0,6.0,-10.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,9.0,8.4,0.0,1.0,1.0,1.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,0.0,17.1,-8.0,0.0,26.8,0.0,-4.4,4.0,2.0
9.0,1997.0,144.7,23.0,18.0,28.0,146.0,-7.6,0.0,0.0,5.0,4.0,-4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,11.0,14.0,7.2,1.0,0.0,0.0,5.0,5.4,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.4,0.0,0.0,-10.1,0.0,0.0,0.0,11.3
10.0,1997.0,235.2,16.0,22.0,38.0,111.0,15.2,0.0,0.0,2.0,7.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,9.0,23.0,7.0,0.0,0.0,0.0,1.0,25.4,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,0.0,0.7,0.0,0.0,-36.9,0.0,0.0,0.0,10.0
11.0,1997.0,326.9,14.0,8.0,18.0,148.0,23.4,0.0,1.0,4.0,14.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,17.4,-2.0,0.0,109.5,0.0,0.0,-7.0,-2.0
12.0,1997.0,101.6,29.0,14.0,19.0,107.0,16.2,0.0,0.0,0.0,7.0,-9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,24.0,17.0,4.4,0.0,0.0,0.0,2.0,16.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,22.0,0.0,85.3,0.0,0.0,22.0,1.0
1.0,1998.0,298.7,9.0,14.0,19.0,111.0,-0.1,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,11.0,-10.0,1.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,9.4,3.8,0.0,119.7,0.0,0.0,3.7,1.0
2.0,1998.0,406.0,8.0,21.0,34.0,199.0,7.4,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,5.0,27.0,34.0,39.7,1.0,3.0,3.0,11.0,-5.6,0.0,0.8,-8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.0,6.0,16.0,0.0,173.3,0.0,0.0,8.2,29.0
3.0,1998.0,300.9,11.0,17.0,23.0,129.0,31.8,1.0,3.0,1.0,8.0,-8.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,13.0,24.0,7.0,5.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,-9.6,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,7.0,2.4,0.0,132.5,0.0,0.0,0.0,10.8
4.0,1998.0,416.2,8.0,16.0,22.0,172.0,9.6,0.0,0.0,0.0,4.0,0.8,1.0,1.0,0.0,1.0,1.0,3.0,7.0,6.0,15.0,3.0,-7.0,2.0,0.0,0.0,1.0,2.5,0.0,0.0,1.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,8.0,0.0,30.6,0.0,0.0,8.0,13.0
